item,expect,outcome,deviation
F9a.1 gamma squares (Scout F1),"Gs^2=+sqrt5 I, Ga^2=-sqrt5 I; form <sqrt5,-sqrt5> isotropic","PASS - Gs^2=+sqrt5 I [True], Ga^2=-sqrt5 I [True]; (Gs+Ga)^2=0 [True] -> <sqrt5,-sqrt5> is the hyperbolic plane over K",
"F9a.1b change of basis over K -> <1,-1>","explicit M in GL2(K) with M^T diag(sqrt5,-sqrt5) M = diag(1,-1); report what it does to d0/d1","PASS - M = (sqrt(5)/10 + 1/2, 1/2 - sqrt(5)/10, 1/2 - sqrt(5)/10, sqrt(5)/10 + 1/2); M^T diag(sqrt5,-sqrt5) M = diag(1,-1) [True]; M is NON-diagonal [mixes d0/d1 = True] -> removing sqrt5 MIXES the two derivative directions (a K-linear boost/rotation of t,x), NOT a benign separate rescaling (Scout's caveat)",
F9a.1c Clifford algebra = split M2(K),"{I,Gs,Ga,Gs Ga} span M2(K); omega=Gs Ga=sqrt5 Z, omega^2=5","PASS - omega=Gs Ga=sqrt5 Z [True], omega^2=5*I; dim algebra = 4 -> Cl = split M2(K) (identical to standard (1,1); NOT a division algebra)",
F9a.2a centralizer of the gammas,"centralizer of {Gs,Ga} in M2(K(i)) = scalars (no room for a 2I action commuting with the gammas)","PASS - X commuting with Gs and Ga: dim=1, X = lambda*I [True] -> the ONLY things commuting with the gammas are scalars; no nontrivial group (let alone 2I) respects them by centralizing",
"F9a.2b Spin(1,1) is abelian; 2I is not","the (1,1) Spin/rotation group is abelian -> the non-abelian 2I (order 120) cannot embed","PASS - SO(1,1)={diag(t,1/t)} abelian [True]; 2I non-abelian order 120 -> 2I does NOT embed in the Spin group of the 191 Clifford form. (Contrast 2I in SU(2)=Spin(3), a COMPACT rotation group of a (3,0) form -- a different signature entirely.)",
F9a.2c roots of unity in K(i),"finite subgroups of Spin(1,1)~Gm are mu(K(i)); compare |2I|=120","INFO - primitive n-th roots of unity present in K(i)=Q(sqrt5,i) for n in [1, 2, 4] -> mu order = 4 (just {+-1,+-i}); 120 >> 4 and non-cyclic -> no 2I",
F9a VERDICT,K-DISCONNECT (no 2I in the 191 construction) or K-CONNECT (report mechanism),"INFO - K-DISCONNECT: the sqrt5 in the 191 gamma ENTRIES is a removable (1,1)-hyperbolic artefact (Cl = split M2(K) ~ standard (1,1)); the Clifford/Spin group is abelian and its finite subgroups are just +-1,+-i; the centralizer of the gammas is scalars. 2I (order 120, non-abelian, a subgroup of the COMPACT SU(2)=Spin(3)) does NOT embed, act on the spinor space respecting the gammas, or permute them. The gammas were written down with a sqrt5 in the entries and carry NO icosahedral content. 2I's OWN golden structure (F9c) lives in its character field, a SEPARATE object. => the F1-F8 arc was a real-quadratic (1,1) Dirac theory; every 'real-quadratic-generic' finding was this diagnosis. ESCALATE.",
F9b.1 phase of the tau-adjoint,"under psi->e^{i a}psi, psibar -> e^{-i a} psibar (antilinear, unlike sigma)",PASS - (tau(e^{i a}psi))^T K2 = e^{-i a}(tau psi)^T K2 [True] -> U(1) is a symmetry (sigma gave e^{+i a} -> none),
F9b conservation (tau-adjoint) [sigma-even m in K],tau-adjoint gives a CONSERVED U(1) current (sigma gave none),PASS - psibar=(tau psi)^T K2; mass residual after solving current = 0 -> conserved [True],
F9b conservation (tau-adjoint) [sigma-odd m=5^(1/4)mu],tau-adjoint gives a CONSERVED U(1) current (sigma gave none),PASS - psibar=(tau psi)^T K2; mass residual after solving current = 0 -> conserved [True],
F9b.3 hermitian positivity,the tau-pairing metric K2 Gs is positive-definite (involution of the 2nd kind),"PASS - K2 Gs = diag(sqrt5,1), both entries > 0 [True] -> (tau psi)^T K2 Gs psi = psi^dagger diag(sqrt5,1) psi >= 0, a genuine positive-definite Dirac inner product",
F9b.4 signature u+ (tau),tau-norm is real & positive-definite on each frequency (healthy Dirac; no ghosts),"INFO - (tau u+)^T K2 Gs u+ = 2*sqrt(5)*k**2 + 2*k*sqrt(5*k**2 + 5*mu**2) + mu**2 + sqrt(5)*mu**2 (real, positive) -> positive-definite norm; the +/- split is carried by the conserved CHARGE (Noether U(1)), not by an indefinite norm",
F9b.4 signature u- (tau),tau-norm is real & positive-definite on each frequency (healthy Dirac; no ghosts),"INFO - (tau u-)^T K2 Gs u- = 2*sqrt(5)*k**2 - 2*k*sqrt(5*k**2 + 5*mu**2) + mu**2 + sqrt(5)*mu**2 (real, positive) -> positive-definite norm; the +/- split is carried by the conserved CHARGE (Noether U(1)), not by an indefinite norm",
F9b VERDICT,"tau delivers (conserved U(1), positive-definite) vs tau also fails","INFO - TAU DELIVERS: conserved U(1) charge [even-mass True, odd-mass True], positive-definite hermitian pairing, real norms -> a healthy Dirac theory with C = tau (complex conjugation). This RESOLVES F8's escalation: the charge conjugation is tau, not sigma. tau(m)=m so BOTH mass parities conserve. (Statement about the CONSTRUCTION; run even though F9a=DISCONNECT.)",
F9c.1 even/odd dims,"even Sigma d^2=60, odd Sigma d^2=60, total 120","PASS - EVEN ['1', '3', ""3'"", '4', '5'] Sigma d^2=60; ODD ['2', ""2'"", ""4'"", '6'] Sigma d^2=60; total 120=|2I|",
F9c.2 affine E8 marks,"McKay graph = affine E8, marks sum 30","PASS - marks [1, 2, 3, 4, 5, 6, 4, 2, 3] sum = 30 (= h, the Coxeter number of E8) -> McKay(2I) = affine E8",
"F9c.3 sigma swaps 2<->2', 3<->3'","sigma (sqrt5->-sqrt5) swaps the golden-conjugate irreps; fixes 1,4,4',5,6","PASS - chi_2 on 5-fold: 2cos(72deg)=-1/2 + sqrt(5)/2, 2cos(144deg)=-sqrt(5)/2 - 1/2, sigma swaps [True]; chi_3 on 5-cycle: phi=1/2 + sqrt(5)/2, 1-phi, sigma swaps [True] -> 2I is GENUINELY golden IN ITS CHARACTER FIELD (a non-removable invariant), unlike the 191 gamma entries",
F9d.1 SU(2) 2 is pseudoreal (2 = 2-bar),"(1/2,0) and (0,1/2) of SL(2,C) restrict to the SAME SU(2) irrep","PASS - eps g eps^-1 = conj(g) for g in SU(2) [True] -> the doublet is self-conjugate; (1/2,0)|SU(2) = 2, (0,1/2)|SU(2) = 2-bar = 2 -- the SAME irrep",
F9d.2 2 and 2' are NOT chiralities,"2I in SU(2) (rotations) cannot distinguish L from R -> 2,2' are not L/R","PASS - since (1/2,0) and (0,1/2) restrict to the same SU(2) irrep and 2I subset SU(2) is a ROTATION group, no rep-theoretic fact about 2I separates left from right -> 2,2' are the two inequivalent 2I->SU(2) embeddings (pentagon/pentagram, 5-fold 72deg vs 144deg, swapped by the A5 outer automorphism = sigma on characters, F9c.3) -- NOT chiralities",
F9d.3 sigma is not parity on the 191 spinor space,does sigma implement any parity/chirality on the gamma spinor space? EXPECT: no,"INFO - the 191 spinor space carries the split (1,1) Clifford algebra (F9a), not a 2I action; 2,2' are embeddings not chiralities (F9d.2); so sigma = P is DEAD -- sigma implements neither parity nor chirality on the 191 spinors. (Fizz proposed sigma=P this morning and killed it by lunch; confirmed.)",
